trial,MOTA,box_threshold,text_threshold,track_thresh,match_thresh,track_buffer,lambda_weight,text_sim_weight
152,0.526958,0.517086,0.313219,0.370275,0.848048,60,0.366902,0.04567
153,0.535667,0.485386,0.281056,0.403956,0.879912,70,0.387794,0.051228
154,0.118294,0.745705,0.371505,0.679652,0.824896,180,0.353011,0.020825
155,0.535458,0.504486,0.354221,0.348215,0.898992,170,0.413243,0.070362
156,0.511777,0.546403,0.292051,0.324737,0.859931,80,0.401071,0.007633
157,0.530131,0.45137,0.263163,0.261704,0.793533,220,0.380337,0.081393
158,0.519511,0.528414,0.329612,0.358435,0.842972,120,0.363153,0.038174
159,0.531204,0.470759,0.313986,0.303836,0.876977,90,0.427774,0.057624
160,0.529934,0.428569,0.765373,0.382398,0.815307,150,0.445538,0.028795
161,0.536954,0.492032,0.338595,0.351944,0.866244,50,0.374504,0.016834
162,0.538836,0.498398,0.303543,0.378138,0.881625,40,0.220034,0.019654
163,0.525898,0.509866,0.296553,0.431848,0.881451,40,0.39095,0.048411
164,0.0,0.479952,0.309251,0.412817,0.121933,70,0.238906,0.035121
165,0.521086,0.528444,0.274598,0.370886,0.855224,30,0.156676,0.070879
166,0.539026,0.497662,0.232689,0.397861,0.835542,50,0.258963,0.009907
167,0.535069,0.464059,0.212728,0.334509,0.838439,40,0.210996,0.001944
168,0.530785,0.514067,0.255706,0.318598,0.828251,50,0.174164,0.013875
169,0.538718,0.492704,0.219577,0.401353,0.899769,60,0.288133,0.022373
170,0.53839,0.482421,0.238819,0.400504,0.897295,110,0.262948,0.01893
171,0.536604,0.483283,0.230378,0.416041,0.890683,110,0.251644,0.02231
172,0.534006,0.44669,0.219881,0.400327,0.895532,40,0.282675,0.008687
173,0.529867,0.467346,0.241794,0.445523,0.857702,100,0.262397,0.022165
174,0.539994,0.49549,0.197774,0.375301,0.898609,170,0.223062,0.011802
175,0.539689,0.491359,0.199955,0.380053,0.899898,170,0.223086,0.01059
176,0.538133,0.486097,0.166219,0.376977,0.896859,170,0.27902,0.008799
177,0.537005,0.479469,0.193782,0.380912,0.880258,160,0.240803,0.009065
178,0.524886,0.524103,0.168772,0.373531,0.87924,170,0.280635,0.002413
179,0.536858,0.489017,0.199959,0.425565,0.89749,170,0.22164,0.013317
180,0.538607,0.457167,0.180354,0.395981,0.869956,170,0.201696,0.024212
181,0.537998,0.450185,0.17992,0.401555,0.871167,170,0.18497,0.000201
182,0.538246,0.455717,0.177194,0.403825,0.872074,160,0.221119,0.002588
183,0.535307,0.44853,0.157001,0.406088,0.883009,160,0.199783,0.004609
184,0.521504,0.420029,0.179789,0.455386,0.870112,170,0.223713,0.015475
185,0.530541,0.435579,0.183522,0.43049,0.884128,180,0.181067,0.001735
186,0.529392,0.402087,0.205842,0.389277,0.89815,160,0.210005,0.025557
187,0.535078,0.460577,0.163375,0.414987,0.868236,170,0.190905,0.000409
188,0.539671,0.469913,0.129038,0.397746,0.867914,150,0.232403,0.014703
189,0.538584,0.46588,0.124258,0.37776,0.852798,150,0.245809,0.017864
190,0.514411,0.468872,0.128461,0.471266,0.850949,150,0.225082,0.019627
191,0.536735,0.478748,0.143917,0.382484,0.883987,140,0.247742,0.013292
192,0.532723,0.461663,0.209355,0.366826,0.86102,150,0.272068,0.028182
193,0.53954,0.482472,0.13674,0.399372,0.899043,160,0.263385,0.017579
194,0.541705,0.436351,0.115684,0.396639,0.868296,150,0.232609,0.028024
195,0.533724,0.435606,0.225842,0.43453,0.849887,130,0.235876,0.028026
196,0.52716,0.387516,0.116641,0.390816,0.880161,150,0.260139,0.037141
197,0.532058,0.514441,0.143595,0.41935,0.899782,160,0.198509,0.022169
198,0.537879,0.473552,0.128014,0.392866,0.86167,150,0.245326,0.034451
199,0.540887,0.491237,0.114137,0.36739,0.84781,180,0.230349,0.01632
